"","Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77"
"11",1997,0,1,1,0,1,0,0,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"12",1998,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,NA,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
"13",1999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1
"14",2000,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
"15",2001,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,NA,1,0,0,1,0,1,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0
"16",2002,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
"17",2003,1,1,0,1,1,1,0,0,1,1,1,NA,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,NA,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0
"18",2004,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,NA,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0
"19",2006,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,NA,1,NA,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1
"20",2007,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,NA,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,NA
"21",2008,0,NA,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,1,0,NA,1,0,NA,1,0,NA,NA,0,0,NA,0,NA,0,1,1,NA,0,1,0,0,0,0,0,1,0,0,0,0
"22",2009,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,NA,1,1,NA,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,NA
"23",2010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
"24",2011,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,NA,1,NA
"25",2012,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
